Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Estimates Start After
Fiji;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8494,023;8198,474;8629,448;8784,002;9159,762;9324,965;9697,288;9396,011;9449,725;10198,525;9954,093;10071,832;10321,487;10331,851;10814,713;10601,054;10729,03;10560,669;10614,948;10416,214;10677,564;10913,84;11015,614;11482,903;12069,633;12557,202;12751,058;13316,586;13748,045;13611,325;11407,726;10891,307;2017
Finland;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;33025,317;30931,512;29730,867;29382,26;30408,986;31561,74;32603,597;34564,194;36343,974;37845,254;39939,944;40904,526;41492,42;42231,208;43804,053;44876,617;46515,476;48782,074;48946,279;44775,956;45985,675;46947,786;46069,129;45439,767;45069,678;45145,072;46282,735;47621,51;48079,417;48682,986;47220,44;48577,22;2020
France;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;34898,353;35064,36;35416,307;35058,47;35755,448;36435,694;36824,604;37554,24;38790,758;39927,299;41304,775;41843,446;42014,977;42075,98;42875,756;43285,669;44107,433;44886,785;44692,426;43217,952;43802,26;44565,42;44516,212;44563,467;44765,849;45040,345;45383,951;46369,701;47074,002;47832,71;43920,087;46556,954;2020
Gabon;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;18557,547;19078,491;17929,291;18195,771;18411,059;18855,411;19062,37;19664,623;19852,22;17635,904;16881,744;16824,041;16444,344;16316,144;16096,439;15580,344;14910,298;15392,754;15086,161;14202,626;14540,644;15001,764;15211,482;15446,707;15566,74;15652,462;15579,432;15302,638;15222,289;15608,055;15122,576;15152,959;2004
The Gambia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2442,916;2397,695;2344,101;2299,331;2146,817;2151,034;2149,068;2084,986;2153,086;2220,887;2271,434;2327,276;2180,857;2257,371;2341,168;2216,192;2137,817;2137,855;2205,118;2283,184;2346,724;2091,823;2135,754;2131,433;2038,797;2058,658;2036,872;2072,652;2158,068;2225,308;2156,021;2194,895;2018
Georgia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;7788,625;4280,465;3095,127;3007,192;3207,433;3675,265;4211,993;4464,867;4693,641;4873,741;5208,271;5556,95;6211,125;6617,92;7290,878;8037,166;9083,904;9364,297;9066,28;9701,581;10487,997;11263,367;11736,197;12262,412;12616,577;12959,863;13595,578;14241,746;14975,814;14078,307;15181,602;2020
Germany;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;37168,149;38530,68;39013,341;38419,375;39243,507;39769,395;40015,882;40708,374;41563,467;42360,045;43571,703;44273,705;44151,731;43857,235;44427,028;44815,222;46617,825;48115,246;48714,444;46100,069;48148,084;50038,553;50157,852;50237,478;51137,331;51450,805;52175,414;53373,757;53791,883;54234,428;51718,746;53213,387;2020
Ghana;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2490,53;2548,497;2599,884;2659,454;2687,083;2733,516;2794,483;2884,561;2955,105;3013,424;2896,98;2932,598;2993,052;3070,794;3160,88;3278,059;3388,016;3445,483;3671,731;3794,945;3883,715;4320,037;4574,269;4792,254;4817,57;4810,484;4864,579;5148,048;5353,483;5585,896;5497,805;5664,175;2018
Greece;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;24459,572;24845,595;24790,82;24245,182;24591,156;24997,676;25586,027;26630,299;27502,095;28203,113;29233,043;30270,992;31307,609;33038,199;34632,309;34746,101;36593,674;37684,8;37473,771;35752,972;33699,987;30268,443;28218,531;27651,436;28040,205;28101,524;28156,57;28558,301;29076,49;29662,122;27231,044;29119,079;2020
Grenada;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8775,838;8888,356;8752,697;8487,76;8547,077;8652,808;8968,196;9356,799;10414,91;11097,83;11613,438;11333,716;11678,76;12738,886;12614,837;14246,63;13641,27;14442,879;14541,851;13537,816;13412,809;13444,637;13207,004;13427,54;14317,053;15142,069;15614,298;16217,5;16837,496;16867,708;14597,702;14904,769;2019
Guatemala;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5635,362;5670,102;5793,304;5851,562;5917,284;6037,465;6067,66;6176,642;6318,092;6405,886;6417,512;6420,362;6537,274;6551,834;6590,059;6636,931;6849,504;7103,008;7202,238;7090,908;7133,319;7291,728;7362,635;7460,455;7631,775;7783,176;7832,248;7912,491;8012,341;8156,229;7872,151;8139,521;2020
Guinea;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1590,717;1545,317;1505,247;1492,192;1473,833;1479,2;1496,027;1535,285;1560,988;1593,421;1606,186;1637,016;1692,938;1684,499;1691,747;1706,661;1709,528;1775,899;1801,454;1727,111;1753,17;1804,23;1862,57;1887,612;1908,826;1933,439;2090,398;2249,555;2334,237;2405,885;2513,539;2579,1;2014
Guinea-Bissau;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1816,269;1905,676;1921,061;1921,308;1934,723;1968,507;1998,049;2072,286;1572,842;1798,36;1779,823;1825,875;1852,983;1808,998;1791,723;1868,835;1877,821;1884,608;1927,043;1930,278;2023,14;2139,64;2057,722;2078,984;2053,851;2132,912;2197,747;2253,422;2278,955;2330,243;2248,16;2272,358;2017
Guyana;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5001,052;5317,181;5728,087;6182,38;6678,915;6977,932;7502,105;7922,67;7755,729;7954,9;7826,723;7991,115;8083,581;8037,037;8167,046;8004,835;8398,214;8963,699;9116,439;9381,353;9765,393;10255,492;10743,814;11092,416;11235,188;11268,171;11601,864;11964,644;12426,245;13052,244;18671,295;22414,595;2019
Haiti;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;3389,486;3369,781;3230,688;3009,669;2604,107;2807,942;2870,201;2893,94;2903,923;2930,189;2905,137;2847,528;2831,707;2884,439;2801,896;2842,055;2845,434;2930,675;2959,378;3082,754;2861,82;2959,857;2927,62;3006,303;3010,724;3040,855;3049,517;3079,714;3085,325;2989,792;2849,169;2790,519;2003
Honduras;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;3843,383;3856,846;3960,295;4090,247;3924,505;3970,107;3996,123;4077,081;4077,549;3935,724;4108,772;4109,773;4154,923;4235,629;4390,473;4546,252;4733,549;4914,322;5011,623;4787,864;4866,978;4956,402;5065,461;5113,461;5177,412;5283,41;5394,33;5557,931;5671,99;5721,952;5119,061;5277,188;2019
Hong Kong SAR;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;28560,641;29860,547;31332,795;32663,292;33948,32;33918,848;34288,137;35759,667;33315,073;33871,322;36065,501;36166,477;36790,229;37699,392;40777,313;43533,208;46145,944;48887,735;49745,202;48296,501;51157,769;53187,934;53628,395;54985,76;56177,467;57071,924;57777,353;59676,476;60774,207;59480,038;56558,403;59850,851;2020
Hungary;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;18677,299;16458,836;15953,748;15875,016;16366,602;16804,118;16844,038;17407,199;18123,027;18728,781;19627,021;20470,701;21493,957;22444,675;23585,287;24632,418;25678,756;25769,075;26096,229;24381,88;24697,344;25246,349;25033,16;25558,152;26725,3;27805,171;28475,317;29801,549;31474,994;32952,692;31328,928;33720,277;2020
Iceland;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;35317,939;34952,291;33270,991;33366,394;34221,221;34015,537;35439,014;37218,284;39590,803;40686,54;42203,988;43229,836;42984,168;43616,606;46680,075;49031,611;51031,373;53946,273;53777,168;49048,036;47919,356;48677,902;49022,767;50891,117;51143,679;52856,271;55608,744;56944,804;57999,184;57989,93;53154,76;54236,594;2018
India;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1663,596;1647,231;1703,08;1749,172;1829,743;1930,928;2037,72;2080,978;2169,395;2310,886;2360,633;2434,893;2487,647;2641,282;2802,952;3015,188;3243,987;3508,589;3592,097;3842,121;4179,502;4399,886;4583,166;4818,508;5116,614;5464,393;5851,427;6183,004;6518,967;6708,12;6172,05;6693,176;2013
Indonesia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4366,436;4678,693;4902,565;5206,264;5507,477;5862,968;6249,157;6468,155;5554,937;5534,957;5744,179;5869,758;6047,621;6247,622;6469,668;6741,814;7012,67;7352,768;7788,867;8040,417;8432,942;8792,318;9192,039;9570,556;9916,343;10260,61;10655,77;11073,521;11522,78;11976,321;11585,573;11866,409;2020
Islamic Republic of Iran;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8931,796;9656,484;9717,458;9697,161;9414,671;9373,408;9812,1;9595,968;9616,597;9486,044;9968,999;9882,843;10731,98;11545,332;11868,455;12062,598;12466,993;13319,359;13186,477;13150,05;13732,191;13909,384;12723,495;12549,603;12871,657;12540,878;14046,99;14402,194;13380,447;12336,982;12622,452;12805,182;2019
Iraq;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5155,324;7695,851;7623,7;7856,385;7816,329;8261,358;8332,885;8637,549;9056,08;10059,038;10554,47;10151,67;10346,328;11603,674;10916,391;11134,603;11483,073;9434,766;9531,071;2013
Ireland;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;26141,867;26421,013;27145,017;27620,86;29152,533;31812,544;34467,513;37773,886;40651,736;44426,268;47904,352;49665,451;51695,058;52389,542;54873,811;56638,064;57794,976;59162,663;55620,368;52421,398;53096,455;53468,547;53206,159;53581,198;57789,663;71625,059;72207,738;77779,91;83751,484;86729,406;91009,728;101905,474;2020
Israel;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;22919,668;22578,289;23357,191;23613,795;24634,054;26295,199;27192,138;27571,618;28036,902;28325,325;30017,342;29345,844;28707,613;28514,524;29392,563;30081,156;31255,905;32587,595;33113,483;32706,298;33936,108;35160,721;35494,111;36502,75;37286,305;37386,697;38293,183;39206,06;39988,496;40710,856;39128,19;41148,34;2020
Italy;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;36952,018;37450,887;37702,445;37355,84;38116,502;39137,711;39633,659;40336,213;41046,313;41710,145;43278,732;44094,477;44181,17;44093,032;44390,363;44420,037;45025,681;45522,064;44708,939;42049,402;42576,56;42693,058;41312,435;40436,059;40388,242;40736,617;41353,905;42111,532;42599,572;42808,503;39125,492;41424,26;2019
Jamaica;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9680,895;9697,7;9892,876;10028,455;10127,298;10288,971;10217,034;9952,426;9736,227;9737,764;9723,522;9762,126;9771,624;10093,552;10190,506;10244,893;10504,476;10618,459;10494,351;10100,809;9920,97;10035,016;9958,596;9968,472;10017,356;10090,249;10233,176;10286,743;10455,167;10544,6;9474,211;9896,484;2019
Japan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;32908,174;33898,237;34065,149;33779,342;33980,729;34785,809;35797,502;36062,768;35509,475;35324,258;36230,926;36284,71;36223,56;36712,198;37485,392;38156,339;38681,719;39252,312;38791,512;36623,675;38111,411;38049,959;38657,441;39500,441;39683,845;40348,248;40657,98;41408,954;41722,876;41819,774;40020,074;41120,067;2015
Jordan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8035,745;7808,627;8366,885;8173,678;8182,826;8372,714;8172,02;8316,963;8422,199;8509,96;8719,692;8983,527;9441,46;9612,372;10132,2;10641,669;11156,683;11545,171;11782,473;11773,38;11440,005;11144,06;10818,341;10545,372;10412,349;10264,485;10140,902;10089,53;10075,425;10103,114;9811,081;9902,745;2018
Kazakhstan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;10888,581;9973,615;9325,974;8629,076;8781,572;9102,794;9068,906;9347,33;10288,223;11688,534;12820,457;13933,657;15146,077;16457,492;18008,298;19391,142;19516,061;19480,998;20601,525;21816,32;22544,013;23547,552;24177,568;24115,705;24043,121;24699,302;25378,895;26184,874;25172,517;25661,894;2019
Kenya;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;3948,979;3878,462;3721,798;3610,272;3597,172;3648,399;3684,152;3603,388;3604,075;3567,833;3483,122;3526,088;3451,924;3453,772;3514,996;3615,213;3727,602;3871,403;3774,662;3796,053;4019,063;4128,62;4221,067;4275,546;4384,283;4506,427;4590,294;4649,975;4795,536;4918,066;4792,506;4948,222;2019
Kiribati;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1919,2;1894,653;1892,354;1885,2;1891,202;1862,962;1852,708;1857,511;1951,542;1884,905;1963,739;1901,026;1940,747;1944,031;1877,899;1935,385;1893,198;1890,55;1811,553;1787,176;1732,92;1737,324;1795,196;1846,176;1809,087;1970,98;2044,892;2035,86;2084,851;2130,462;2085,002;2087,143;2017
Korea;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;12669,888;13897,217;14606,087;15452,843;16716,073;18139,807;19385,581;20389,685;19204,671;21255,237;22988,114;23919,364;25618,675;26288,357;27545,279;28671,229;30022,486;31603,579;32309,525;32398,463;34431,149;35426,695;36087,615;37060,592;38007,942;38870,125;39857,094;41001,069;41993,058;42850,291;42426,544;44207,592;2020
Kosovo;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6826,32;7153,909;7062,702;7322,847;7181,963;7363,06;7520,806;8032,261;8078,033;8235,462;8375,499;8717,368;8787,439;9064,524;9255,138;9815,46;10145,807;10486,551;10904,322;11528,626;10874,113;11480,637;2020
Kuwait;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;29854,869;27583,573;48294,697;62615,689;55002,916;52212,072;49257,111;47769,822;48163,463;47633,441;50718,049;48801,334;47970,589;53484,526;54788,298;55519,365;56098,212;55670,367;56351,402;51716,301;49120,892;52172,029;54029,75;53454,967;51761,537;50279,642;50005,549;46479,257;45719,214;43993,241;41004,859;40822,137;2020
Kyrgyz Republic;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;3975,381;3400,759;2715,218;2556,686;2695,564;2921,49;2938,762;2999,127;3117,909;3252,256;3221,524;3416,941;3613,767;3563,334;3636,319;3903,051;4165,313;4238,22;4163,703;4363,927;4301,755;4677,586;4770,261;4855,549;4961,366;5094,365;5172,427;5298,562;4746,812;4746,242;2019
Lao P.D.R.;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2006,004;2026,342;2106,525;2168,387;2283,487;2383,98;2489,464;2603,902;2665,563;2724,871;2851,911;2940,57;3092,945;3234,954;3415,048;3595,234;3853,883;4087,339;4332,954;4575,25;4862,588;5169,539;5489,179;5842,03;6193,497;6543,808;6896,288;7255,169;7592,999;7826,571;7678,889;7726,938;2020
Latvia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;9959,35;8850,537;9187,136;9451,781;9816,525;10794,229;11593,053;12017,763;12792,893;13765,508;14946,441;16359,101;17928,148;20087,397;22715,768;25208,874;24559,45;21339,451;20806,27;22642,295;23948,897;24756,259;25301,553;26519,029;27384,621;28547,993;29938,451;30774,606;29850,556;31268,308;2019
Lebanon;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9510,944;12610,262;12515,538;12690,289;13075,941;13431,536;13655,475;14850,512;15283,098;14941,383;14732,251;14738,317;14542,69;14095,061;14551,993;14250,352;14285,648;15591,068;17014,073;18567,14;19480,888;18709,561;18022,181;17525,783;16957,615;16355,406;16162,301;16043,033;15684,565;14549,923;10960,833;n/a;2019
Lesotho;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1450,698;1498,969;1531,734;1553,029;1589,212;1554,521;1644,195;1700,146;1722,694;1748,745;1833,093;1891,691;1920,033;1996,662;2042,964;2104,923;2196,218;2290,413;2360,599;2353,256;2456,691;2563,711;2677,559;2706,731;2744,198;2814,525;2848,356;2752,736;2706,54;2646,901;2487,304;2526,614;2016
Liberia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1723,023;1707,446;1741,342;1215,615;1239,942;1278,42;1339,748;1456,16;1481,764;1497,952;1537,974;1606,738;1695,614;1800,343;1769,725;1727,023;1656,82;1655,355;1633,921;1553,072;1469,751;1484,783;2016
Libya;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;45193,132;51069,365;48570,228;45717,383;45699,945;39191,739;39475,598;38597,967;37761,562;37339,957;38041,941;36802,529;35903,53;39977,913;41079,345;45297,922;47394,624;49621,027;39938,133;38224,641;38909,421;13231,456;28028,236;17755;8351,106;7191,723;6594,481;10708,893;12498,714;14007,052;5586,419;12344,048;2014
Lithuania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;10652,6;11296,307;12325,457;13343,527;13285,163;13873,396;14900,902;16035,042;17873,966;19263,331;21093,653;23021,993;25884,832;26836,203;23109,128;23988,61;26018,358;27383,204;28643,77;29913,018;30807,017;31987,068;33826,612;35495,286;37133,514;36801,859;38517,855;2019
Luxembourg;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;67339,285;72177,75;72498,39;74481,009;76216,322;76945,898;76992,159;80526,426;84698,036;90691,309;96940,861;98172,827;100762,891;101434,123;103559,423;105392,741;108993,784;116338,275;113042,73;105990,501;109250,412;109885,581;106783,178;108173,549;110228,698;112262,626;114690,179;113905,612;115237,278;115602,314;111857,692;115823,304;2020
Macao SAR;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;51474,955;55525,401;61132,796;74743,061;77169,615;82535,342;90151,005;91324,579;93699,591;115074,207;138693,687;145081,784;153937,673;143982,26;111184,238;110759,7;120286,603;125320,595;119835,637;52089,943;61746,51;2020
Madagascar;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1853,052;1686,156;1656,344;1641,212;1591,42;1569,038;1553,576;1560,974;1571,629;1594,477;1614,382;1658,936;1409,396;1501,274;1533,699;1559,875;1596,753;1639,883;1700,697;1587,567;1553,405;1534,941;1538,521;1531,786;1540,751;1546,767;1566,758;1586,398;1575,387;1585,151;1436,02;1491,559;2010
Malawi;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;889,15;944,508;864,768;943,005;840,04;944,28;1018,374;1059,052;1041,286;1049,237;1031,402;967,482;948,416;980,701;1011,747;1024,181;1042,685;1111,365;1163,501;1225,115;1272,677;1297,097;1284,562;1313,53;1349,534;1350,453;1342,446;1357,06;1377;1411,374;1384,384;1375,234;2016
Malaysia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;10222,568;11029,633;11682,019;12488,297;13272,838;14196,836;15218,857;15923,801;14379,321;14877,228;15764,355;15433,108;15868,023;16393,497;17110,04;17573,527;18309,683;19270,185;19835,386;19199,815;20279,336;21004,999;21818,4;22310,47;23269,507;24060,439;24775,657;25897,244;26849,887;27920,566;26011,401;26582,225;2020
Maldives;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;7303,357;7455,34;7719,857;7920,931;8294,07;8740,066;9330,853;10087,392;10849,085;11401,017;11767,562;11914,634;12435,083;15345,768;16023,215;13717,331;16997,007;17953,76;19357,925;17662,112;18632,846;19895,168;20059,345;21164,67;22341,007;22606,042;23642,09;24928,287;26509,729;27893,655;18659,642;21814,236;2014
Mali;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1489,25;1574,59;1516,677;1532,567;1549,371;1553,463;1622,968;1657,261;1662,354;1720,794;1674,12;1877,981;1880,46;1990,95;1960,282;2023,145;2050,104;2052,97;2080,366;2106,402;2149,188;2149,838;2067,933;2053,849;2136,47;2203,449;2264,918;2315,161;2353,397;2392,472;2284,911;2307,528;2017
Malta;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;20003,981;20630,932;22061,592;22702,636;23511,994;24908,371;25769,464;26805,66;27517,411;28392,292;27940,087;27424,51;27898,082;28840,645;28695,406;29459,98;30025,654;31411,434;32436,145;31826,897;33339,678;33417,746;34580,716;36045,009;38171,777;40862,402;41403,947;44953,767;46170,298;47051,926;41389,196;43148,967;2020
Marshall Islands;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3034,517;2968,83;2888,39;2909,252;3147,582;3319,182;3248,702;3210,091;3238,928;3214,788;3303,738;3052,594;3144,008;3317,75;3281,581;3198,038;3309,987;3263,993;3302,325;3337,37;3433,929;3525,642;3744,522;3631,086;3548,234;2018
Mauritania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4546,824;4425,067;4381,382;4511,662;4252,862;4540,888;4671,366;4357,312;4352,83;4556,312;4253,551;4099,142;4037,099;4194,471;4270,699;4510,672;5507,825;5251,472;5094,633;4967,619;4969,621;5046,979;5144,194;5230,743;5327,806;5486,144;5427,083;5636,44;5760,509;5961,386;5730,687;5758,456;2014
Mauritius;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8050,231;8317,029;8742,898;9078,942;9323,014;9639,509;10074,582;10515,085;11036,898;11182,006;11979,747;12267,503;12380,836;13027,095;13502,251;13617,511;14165,939;14909,167;15655,631;16131,717;16797,818;17454,766;18014,977;18579,348;19236,061;19893,44;20646,51;21415,336;22203,33;22852,141;19441,339;20417,184;2018
Mexico;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;14864,308;15205,52;15462,019;15610,228;16107,463;14850,678;15609,959;16427,697;17025,02;17248,744;17862,551;17555,728;17308,623;17320,651;17761,165;17930,841;18477,005;18624,141;18553,794;17308,159;17929,569;18325,537;18738,297;18748,605;19044,55;19442,916;19732,024;19933,504;20162,003;19927,659;18098,199;19052,763;2020
Micronesia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;3084,671;2982,434;2795,095;2865,071;2901,955;3035,784;3107,64;3135,232;3194,291;3102,585;3175,138;3187,876;3142,297;3089,389;3137,608;3225,423;3322,478;3254,783;3129,547;3052,068;3187,578;3210,677;3291,059;3292,288;3326;3259,843;3148,518;2018
Moldova;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;8398,391;8319,172;5742,055;5666,322;5349,013;5452,669;5106,185;4940,507;5056,688;5375,942;5810,481;6212,649;6685,355;7207,777;7572,367;7817,892;8439,95;7942,05;8513,736;9011,33;8958,297;9773,589;10269,376;10322,979;10855,521;11547,401;12262,677;12946,993;12263,127;13047,352;2019
Mongolia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5371,699;4760,998;4241,322;4069,072;4117,033;4314,681;4347,126;4454,928;4539,488;4613,106;4608,479;4764,177;4947,452;5248,797;5682,816;5982,982;6390,771;6851,748;7261,374;6979,365;7368,528;8486,767;9345,919;10211,939;10775,675;10809,046;10717,478;11083,557;11664,385;12048,927;11209,556;11595;2020
